,PC1,PC2,PC3,PC4,PC5,PC6,PC7
player_season_dispossessions_90,0.17882303311755593,0.019280435511355373,-0.09570597101596819,0.11016361139352357,-0.11419540202437939,-0.12953849071598747,0.06082060571609467
player_season_obv_dribble_carry_90,0.12426041290423943,0.01090481635680909,0.09200006896354748,0.06737202871412143,-0.23375470265286757,-0.02742633447785534,0.13618200951201015
player_season_positive_outcome_score,0.1780631443332597,0.02755952027018701,0.16336060058765975,-0.012081844908610669,0.1006556728054331,0.010161901467452192,-0.003798716023790898
player_season_positive_outcome_90,0.18539548956255342,0.031630043290858625,0.17626297593695014,-0.01010286675581082,0.02897848557528219,0.03290676456023173,-0.03641174026595634
player_season_key_passes_90,0.20274048520285323,0.08671345697408399,0.0926303427865634,0.0057742147982887,0.1303233592618389,-0.0072235815377853264,-0.0075991295209098635
player_season_op_key_passes_90,0.19638996615338716,0.07141137154180753,0.07654832495604412,-0.024499808715317026,-0.015513343388204866,0.010636599488315465,-0.06646372866600551
player_season_sp_key_passes_90,0.12192119561867452,0.07167386760756031,0.08263667591548178,0.05154850416907973,0.30341873374588657,-0.03223831044045864,0.09269987932852322
player_season_shots_key_passes_90,0.22281736892017445,0.04817848806498489,0.012589058144090755,0.04061253812902763,0.12213695198976002,0.05542386217844915,0.0029018657741737707
player_season_np_xg_90,0.15304132928884803,0.0003047273116751905,-0.1397659975643799,-0.043719093488607745,0.01485072850776369,0.26564583870465985,-0.03134790181936639
player_season_np_xg_per_shot,0.03875859914570382,0.0016213517842591416,-0.13157985225728916,-0.12195735060457491,-0.06641056738401312,0.30732429567843594,-0.02506726954557364
player_season_npg_90,0.11212555865590212,0.010778794794989052,-0.10449481018255666,-0.09466336422619515,-0.056565994873003046,0.3320826526189127,0.26975234697093925
player_season_conversion_ratio,0.03679470918623899,0.014889285531173734,-0.08370664777886797,-0.14795945699681834,-0.10531755852895558,0.339163795013125,0.31875371224577814
player_season_touches_inside_box_90,0.13998919276562222,0.07269613602680813,-0.1505892247530608,-0.055125836773760824,-0.016033049808366222,0.19006176182926904,-0.18474041997868793
player_season_crosses_90,0.06652805364567377,0.24714103000323814,0.030994918348595153,-0.03473353057189783,-0.034558082248015,-0.02458336552090705,-0.0976199587823437
player_season_crossing_ratio,0.015020596212199009,0.01249969750586448,0.03712948063060964,-0.1167766427454669,0.01551686694880293,-0.06817654395144233,-0.08266094059549603
player_season_box_cross_ratio,-0.03724789804848857,0.18321041295423118,-0.0272498626591589,-0.05039039403969796,-0.09273880578655622,-0.09105540055165838,-0.0628956586222708
player_season_sp_passes_into_box_90,0.09062997072200392,0.12172556290911066,0.09119502075412221,0.1046664592334756,0.2909202774786812,-0.0050199783185485595,0.07786156247320711
player_season_obv_shot_90,0.0053233167671518375,0.00408340362269915,-0.027484538978643096,-0.1342816048418185,-0.1008126361581365,0.20705424505225084,0.3276879517051342
player_season_obv_90,0.02944955968666715,0.1599241937540815,0.15794461926526748,0.04308206058597341,-0.13280358530353503,0.14563547133142596,0.11814027662480747
player_season_over_under_performance_90,0.02877607204669518,0.016419552750353155,-0.0008777065145147911,-0.09328161051786905,-0.08962409851867392,0.17675983402313777,0.31015863127277915
