,PC1,PC2,PC3,PC4,PC5,PC6,PC7
player_season_forward_pass_proportion,-0.06322537228472991,0.0025335584944450027,-0.05466516209822792,0.32133264345373125,0.1257916128263982,0.06498981804746261,-0.09190667711789041
player_season_sideways_pass_proportion,-0.02667979041146306,0.12427084557115055,0.041953492668976404,-0.22109054838350586,-0.06941858534833918,-0.10906971008713551,0.18593642408448446
player_season_backward_pass_proportion,0.11535013875957927,-0.15259472447397074,0.022165315111569016,-0.15086576399219132,-0.07402705011794634,0.05084711275511835,-0.10427698691006929
player_season_pressured_passing_ratio,0.008774902304730277,0.16636454389196184,0.08181636682315657,-0.22516635228852966,-0.010896340829715856,-0.013521434197584644,0.06320870037300351
player_season_passes_pressed_ratio,0.049727616143215726,-0.14470271978068225,0.10525334867242508,0.04415779315187903,-0.08381557761839104,0.14898588999447343,-0.10226072921354189
player_season_change_in_passing_ratio,0.11103389743966612,0.08189355850505327,-0.004760280186648318,-0.024367329447106716,-0.06412058796378785,0.021729750504457336,0.11349545688952255
player_season_p_pass_length,-0.05516405200454543,0.14085987102979983,-0.09711211355869302,0.10040192533318736,0.06634411246008097,0.097755965555597,-0.022187120369392344
player_season_pressured_change_in_pass_length,-0.06401801670382765,-0.012710587067838912,0.06434417646348199,-0.16097040208736282,0.12918968469307407,0.1290040267438992,-0.15302561539404144
player_season_obv_pass_90,0.09123861813029555,0.15285640527839311,-0.12979751464187303,0.1890431257233828,0.033075955776967196,-0.0852007011431047,0.02561478292722584
player_season_op_xa_90,0.1775226089603621,0.045843256766809184,-0.008810581561111386,0.006023860278017461,0.02723909872812768,-0.06820894798256819,-0.11993209525309079
player_season_carries_90,0.09377941489622516,0.2183920288765623,0.09798522714228904,-0.13698264134323357,0.0448366339299086,0.03421225640983701,-0.051173706255478346
player_season_carry_length,0.13011056758432607,-0.030967718861023338,0.06235191455541371,0.008201910514199974,-0.03368759206954465,0.23997701312967473,0.25915767016481017
player_season_carry_ratio,-0.14945303363704196,0.17897567632652053,-0.05844813997771429,-0.020137822617115046,0.10569984407591605,-0.1542246371560074,-0.1232396686984301
player_season_dribbles_90,0.15804980397023888,0.002571069144568409,0.10261712027327108,-0.032200212248250426,-0.09320629575005626,0.2012415164326657,0.16523768218613236
player_season_dribble_ratio,-0.03640875031462839,0.07982695998536056,0.019580156983657646,-0.035217524586254385,-0.07753463599402231,-0.0027134207493652134,-0.06314925242063725
player_season_failed_dribbles_90,0.170520474711767,-0.07202394275512075,0.06472865185046105,-0.02973629767150596,-0.047550587048038426,0.1848875857370972,0.18898215571355542
player_season_turnovers_90,0.1891958503200234,-0.09813032716902975,0.0953887458109071,-0.035738052066575834,-0.07060653906960149,0.12463828996308045,0.08972538823809807
player_season_dispossessions_90,0.1795925773933058,-0.05837340983061494,0.09697382496373988,-0.0430383849113684,-0.06437252810929879,0.2010880113995591,0.08771805983849734
player_season_obv_dribble_carry_90,0.09818872022647274,0.14862512949594547,0.08730627692159225,0.006101343854630322,0.07923012366223105,0.25121926900777636,0.11905022444352376
player_season_positive_outcome_score,0.1761858369344752,0.14207865217230828,-0.054397184586568406,0.027236139475382885,-0.010821390603070741,-0.04836043267060488,-0.055640703980794605
player_season_positive_outcome_90,0.1754068965130102,0.16186061221259512,-0.006755576073145546,0.02335263019750658,0.013788175068464536,-0.0371991591534411,-0.075345613267647
player_season_key_passes_90,0.20714465193833737,0.07224732760820582,-0.06317616300055481,0.04804136363845439,-0.04351934855537794,-0.07062651948866173,0.0026076938275242144
player_season_op_key_passes_90,0.19702304498967568,0.07152791428931922,0.010826908326919907,0.015139649947649105,-0.0018029969297427735,-0.011417566816293776,-0.04303344195810254
player_season_shots_key_passes_90,0.21739482177041455,0.008896853796648426,-0.0110332764275193,0.06676484373270378,-0.023296448603892336,-0.004311230748644546,-0.019948620085629656
player_season_np_xg_90,0.13943632231927208,-0.13278608727693259,0.05516787799090001,-0.014639041669330109,0.18436538400818375,-0.09970484268626947,-0.03611246694385939
player_season_np_xg_per_shot,0.033776877896269535,-0.12780283662073552,0.03043724666728856,-0.04998898133113617,0.29824481977783546,-0.1996586817343683,0.0387672081743365
player_season_npg_90,0.11062894390336787,-0.09352164033061226,0.028871397456175965,0.004846019958718487,0.3405523146757682,-0.04800244869826221,0.1775661918394406
player_season_conversion_ratio,0.04046764541928823,-0.07914782261397177,-0.0008731571083626739,-0.01304465804180589,0.40805815780314436,-0.09472015023625781,0.2377273045115358
player_season_touches_inside_box_90,0.13883765201516346,-0.15212278915500793,0.04797859229161638,-0.01091565119000988,0.10345744795670546,-0.10247342712519368,-0.18509875423095698
player_season_crosses_90,0.18154232786048405,0.006340374571487673,-0.12399246957284005,0.034683070949515706,-0.0640176574588145,-0.09120574934199562,-0.0005414197114971325
player_season_crossing_ratio,0.016849230040927466,0.03924084093330681,-0.04811190320846624,-0.09569595705393201,-0.1112720999322219,-0.0494805531997743,0.03253229719642163
player_season_box_cross_ratio,0.03325331509853511,-0.026203473408836463,-0.07301387631440026,-0.006950667387117734,-0.11831100135319601,-0.01002892917129524,0.09293598286577683
player_season_sp_passes_into_box_90,0.14520065124632806,0.050772310951208224,-0.15894640240526556,0.10332784610573387,-0.10327230562233053,-0.13237398045346027,0.0798892515760047
player_season_obv_shot_90,0.002033672983910439,-0.012477154566623103,-0.04949504627279117,-0.04839618524259599,0.3128354367820069,-0.07359422712570798,0.28428069048245225
