player_id,player_name,team_name,season_id,season_name,primary_position,secondary_position,player_season_minutes,PC1,PC2,PC3,PC4,PC5,PC6,PC7,cluster,p_c0,p_c1,p_c2,p_c3,p_c4,p_c5
26315,Adrián Alexei Aldrete Rodríguez,Cruz Azul,108,2021/2022,Left Back,Left Centre Back,1811.3169,-6.333452544754155,2.8000813973224004,1.5811714137049941,-1.1453257157756487,0.48081591591420236,0.30006997784016815,-1.6374124015452303,2,2.434942212145624e-19,1.887139473407604e-70,0.9999825325691039,7.181170438513392e-06,8.078763840584397e-06,2.2074966168679395e-06
27902,Manuel Alejandro Mayorga Almaráz,Cruz Azul,108,2021/2022,Left Back,Left Wing Back,822.38324,-3.2180768286278965,0.7374089280853691,-1.2896922361051588,3.7191922346833945,-2.1033346638115025,-1.0559667783660036,1.0051662390911273,2,6.2936457629064854e-15,2.8421551628626157e-41,0.9761378887752399,0.005167883663936731,7.654865428854602e-10,0.018694226795330875
27153,Javier Ignacio Aquino Carmona,Tigres UANL,108,2021/2022,Left Wing Back,Left Back,3914.0332,0.2811367128904455,1.2058690720805412,2.6788575699469757,1.5050915813220125,-3.476878687160778,-0.9092025416526207,0.30829744300629724,4,1.0646750952538695e-19,2.7166724515796164e-25,5.85868845965735e-14,4.187585212527207e-07,0.9723586453555242,0.02764093588589587
27959,Juan Pablo Vigón Cham,Tigres UANL,108,2021/2022,Right Centre Midfielder,Right Defensive Midfielder,2988.6335,4.01510603006251,-2.7989950495011597,-6.633767715546967,-2.3047129408159845,0.0682696068708281,3.3553601381101394,-0.593767636350766,1,1.5517092059053706e-25,0.9788588416196243,9.029785563372356e-36,0.021140609144616386,5.79702909837275e-34,5.492357592625146e-07
32970,Ivo Saúl Vázquez Serrano,Puebla,108,2021/2022,Left Wing Back,Left Back,828.1832,-2.574884476302054,4.0649750774196685,-1.221095446803549,1.5936357459939543,-1.740662883394366,-1.797260331949965,-0.610964136486845,2,4.753223596923725e-39,5.820748391227861e-48,0.9577848600363607,1.1618876566128488e-06,3.1572179055828784e-07,0.04221366235419222
43708,Alan Omar Rodríguez Ortíz,Toluca,108,2021/2022,Right Defensive Midfielder,Left Defensive Midfielder,530.95,-2.8270822128364044,-4.812254599541172,-2.528494011123892,1.1293976427919594,-0.42278186358769915,0.01562395822936178,-1.222304033228708,0,0.7316892764130272,4.7245789931435645e-21,1.6457963182369727e-19,0.2683107235869725,8.3705186991874e-28,2.940165604439126e-16
27888,José Juan Vázquez Gómez,Toluca,108,2021/2022,Left Defensive Midfielder,Right Defensive Midfielder,1622.2001,-4.563374686504647,-3.852229452846443,-0.7447084145112725,-2.836509380498756,-0.26051610148615245,-2.7456778105505575,-0.5632072085765955,0,0.9006961885569428,4.3343423232735485e-36,4.389170465234886e-11,0.09930381139916025,4.834576091732821e-15,5.052614476789016e-16
26342,Carlos Alberto Guzmán Fonseca,Toluca,108,2021/2022,Right Back,Right Wing,781.89996,-4.252062081409769,2.8555173732828503,-0.13487355170535123,-3.05343362578971,-0.3096213020654486,0.10888118238431369,-1.5622110744709752,2,2.7129638690564214e-26,2.8485756688064582e-58,0.999607324936587,5.565169104731473e-06,4.835491055783871e-09,0.00038710505881720024
43622,Erik Antonio Lira Méndez,Cruz Azul,108,2021/2022,Right Defensive Midfielder,Left Defensive Midfielder,1717.3834,-3.66909785635078,-2.131821780745293,2.264213431411432,0.682120550930917,-0.36894745038742105,-1.0735590491077192,0.39221118774523644,0,0.9789981619321495,2.823594648206447e-49,9.086006520117373e-09,0.020281817896139444,0.0007200110856916281,1.299198801513931e-14
28432,José Joaquín Martínez Valadez,Cruz Azul,108,2021/2022,Right Back,Right Wing Back,955.2832,-3.316890967823847,2.036181533983869,-2.356251645705286,-0.1857354242785191,-0.07342389700464838,-1.570164689153405,-0.2905015553677499,2,2.824654431410591e-25,6.089802550810669e-50,0.9985072280666939,0.001396180816988983,1.884995963070518e-15,9.659111631504155e-05
26325,Efraín Velarde Calvillo,Pumas UNAM,108,2021/2022,Left Back,Left Centre Back,2606.5498,-4.951910174914577,1.0109819058339462,0.3958045387419426,0.31162701398834114,0.7070113509974362,-0.8438585659623661,0.9064512670322359,2,9.99970357552014e-12,6.148697526226131e-68,0.999098679980565,0.0009000446877621811,1.274406274926995e-06,9.153982362691474e-10
42636,David Alfredo Andrade Gómez,Santos Laguna,108,2021/2022,Left Back,Left Midfielder,774.81665,-2.228005945886864,4.071862194427173,0.7205828922043367,0.8283496385798267,0.3193437929498706,-1.087562560635886,0.570825482620555,2,2.569483259784917e-38,1.1498944779654935e-51,0.9595483114463033,1.6117988178274382e-07,0.04020877577665823,0.0002427515971565648
30945,Ismael Govea Solorzano,Santos Laguna,108,2021/2022,Right Back,Right Wing Back,737.7167,-7.345902774497127,2.0828268225566524,-2.5277101981325547,0.948502826180924,0.9458892177963184,-1.8810467188733693,1.3258363508083053,2,7.552361352242453e-16,1.911942958293748e-58,0.9960969261094204,0.0039030019340663847,1.1774280843182147e-12,7.195533526740644e-08
29265,Alan Jhosué Cervantes Martín del Campo,Santos Laguna,108,2021/2022,Right Defensive Midfielder,Left Defensive Midfielder,2591.25,-1.5229997784984124,-4.750227078044662,-1.2829319230513538,2.204945796171902,-0.7642200515683691,-2.1752880580340244,0.1391060220480295,0,0.9768589405298068,5.420538581904013e-17,1.1850840579829834e-26,0.023141059470193254,1.8125792318294772e-17,1.4688468877176673e-17
27900,Carlos Emilio Orrantía Treviño,Santos Laguna,108,2021/2022,Right Back,Right Wing Back,2421.5835,-2.6359944971169855,2.9292002673144135,0.5144852451307188,0.5996381774517467,0.7588873464364528,-1.8638763547035486,1.0905527236099397,2,1.6587308737687846e-27,1.2420191447668092e-53,0.990275694526245,6.617854565554531e-06,0.00971552978991791,2.1578292715316655e-06
26376,Ronaldo De Jesús Prieto Ramírez,Santos Laguna,108,2021/2022,Left Defensive Midfielder,Left Back,1148.1165,-1.6971220057877137,1.3929194858333112,3.3211211058256107,3.519917059994158,3.892453930633079,1.1053389783827219,0.41955204402177726,4,2.086422095409626e-13,2.2579827680057765e-29,1.859463310115824e-10,4.850593107705897e-06,0.9999951481372642,1.0834731314392205e-09
27897,Ulises Rivas Gilio,Santos Laguna,108,2021/2022,Right Defensive Midfielder,Centre Defensive Midfielder,709.0,-4.504228523785699,-2.2235311419578023,-4.187314632117212,2.797457467077192,2.905086926964518,1.8755904183146939,-0.8625822471943415,3,7.979648302618792e-07,1.515891599693391e-27,3.094332699094162e-07,0.9999988925956017,5.5558881101196736e-27,6.2981022677261365e-12
44362,Martín Luis Galván Romo,Juárez,108,2021/2022,Right Centre Midfielder,Centre Attacking Midfielder,729.8667,5.4235757424891275,0.9669161799820648,-5.030733038876667,-2.6375071562379118,2.579296519827943,0.1281031134973322,1.6923526748716033,1,3.567999592664021e-33,0.9991162046782479,8.969884212857275e-33,0.0006873472389903583,7.645158960493587e-18,0.00019644808276171342
183000,Santiago Trigos Nava,Pumas UNAM,108,2021/2022,Right Defensive Midfielder,Left Defensive Midfielder,595.7834,-0.6222948317523422,-6.325369054027398,0.5105088659915498,1.7509572397492172,-1.0011555620844559,-2.166491933478248,0.5345532028646436,0,0.9920336889037893,3.695846410441916e-13,5.6655644705373324e-40,0.007966311080661493,1.5179546434263194e-11,8.500804088694066e-21
27955,Alan Mozo Rodríguez,Pumas UNAM,108,2021/2022,Right Back,Centre Attacking Midfielder,3176.883,4.226591347430895,4.631759856134435,3.3801330407387344,1.3637030256965286,-0.7450909828386408,-1.4446621053151778,0.21592064656341908,4,6.865574790269457e-35,9.833140136505187e-09,2.151843393619952e-21,2.0667909365227628e-09,0.9430777947187798,0.05692219338128906
29517,Leonel López González,Pumas UNAM,108,2021/2022,Right Defensive Midfielder,Left Defensive Midfielder,2578.9163,6.9214441919592105,-0.8589917861825255,5.100233606062172,1.9350755638400499,3.8215188159412112,0.17848450193718624,1.7510167213111205,4,4.5156438211849034e-11,0.20999546595058824,9.951348194462083e-57,6.827546870390988e-08,0.7900044656547245,7.40621075586482e-11
43622,Erik Antonio Lira Méndez,Pumas UNAM,108,2021/2022,Right Defensive Midfielder,Centre Defensive Midfielder,1669.2,-3.535727571570622,-2.324702308228212,1.896188702942106,0.4953044459945877,0.5230250199970102,-0.9249099210985002,0.9553834877689534,0,0.995514231713059,2.009100156514626e-46,1.0182705819449956e-10,0.0044582071722257515,2.7561012888305107e-05,1.086831045401721e-18
