player_id,player_name,team_name,season_id,season_name,primary_position,secondary_position,player_season_minutes,PC1,PC2,PC3,PC4,PC5,PC6,cluster,p_c0,p_c1,p_c2,p_c3
412577,Emmanuel Ricardo Echeverría Mata,Santos Laguna,317,2024/2025,Left Back,Left Wing Back,2431.5835,-1.397216448404894,2.3600181957419304,-2.0848594120911006,-0.8868240412255282,-1.1720850013922601,-2.260440451074762,1,0.021216166182405686,0.9787837121925367,1.2802069129375695e-14,1.216250446815363e-07
37591,Aldo López Vargas,Santos Laguna,317,2024/2025,Right Defensive Midfielder,Right Back,2247.4001,-1.2351520984935673,-2.979160421949787,-2.5871736906573646,-3.4074026994689066,0.09342142838410078,0.8339247020530232,2,1.4271708354171035e-10,1.0581460945514244e-17,0.9994539836980252,0.0005460161592574114
26289,Javier Güemez López,Santos Laguna,317,2024/2025,Left Defensive Midfielder,Left Centre Midfielder,1558.2832,2.1224793471865224,-1.6725268640180853,0.14237523290478782,0.03621750525646088,-0.271544014272913,1.950095932523448,3,4.001520154883882e-11,1.428256847176016e-59,0.003206725616183008,0.9967932743438019
99579,Salvador Mariscal,Santos Laguna,317,2024/2025,Right Defensive Midfielder,Centre Defensive Midfielder,1651.7666,-5.837939465213475,-3.602294017607037,0.015479226491287293,-2.020572474469954,0.08104848077026212,0.5254616722260512,2,7.557643766368863e-08,5.472637548926124e-07,0.9999993575953692,1.956443836523794e-08
5576,Jesús Daniel Gallardo Vasconcelos,Toluca,317,2024/2025,Left Back,Left Wing Back,3624.1333,0.40501515176704767,3.356422298201398,-0.02500536170692455,-3.086043314771571,-0.9491984721402036,2.5796615642046135,0,0.9999993821011962,2.6042383950022653e-07,2.204221157382737e-14,3.5747494226674525e-07
330534,Ralph Orquin,Juárez,317,2024/2025,Left Back,Left Centre Back,3140.883,-4.130681509378049,2.8423612199426302,-1.3376616111374942,-1.072480111517854,-0.9446458437581498,-2.1800724741142083,1,0.00621774558045291,0.9937822543280916,4.654172909131361e-11,4.491364398808235e-11
274998,Diego Campillo Del Campo,Juárez,317,2024/2025,Left Defensive Midfielder,Right Defensive Midfielder,2550.5667,-0.33345603020537035,-2.3559863180061837,0.39948090879256953,-0.09748477826552915,0.844510106581523,-1.6258319065136957,2,7.330175501178415e-15,3.6328233494869146e-34,0.9958735450646936,0.004126454935299143
27897,Ulises Rivas Gilio,Pumas UNAM,317,2024/2025,Right Defensive Midfielder,Right Centre Midfielder,1087.0333,-2.0446205303303615,-1.2772624208034498,-5.47397374780878,-0.9377047620187863,1.8464032865058182,0.9280400686323435,2,7.071295202667797e-08,5.218560154955959e-07,0.9942802424356227,0.005719164995409863
146649,Jorge Ruvalcaba,Pumas UNAM,317,2024/2025,Right Wing Back,Left Wing,1784.45,7.397492233103143,1.2458575209399905,-7.903102531926629,0.25292821459649567,-1.3874102643738806,0.8655900546377406,3,8.580913530172136e-05,2.4320955219814718e-27,6.925157555449701e-11,0.9999141907954466
275441,Rodrigo López Quiñones,Pumas UNAM,317,2024/2025,Right Centre Midfielder,Right Wing Back,1230.15,7.881336146907464,6.037723214494617,-1.2499424409829454,0.46169326534948407,2.3223902358762247,-0.5571852983939296,3,0.16613512898949273,3.73174704376314e-25,1.4953184704784414e-21,0.8338648710105073
436775,Ángel Jesús Rico Reyes,Pumas UNAM,317,2024/2025,Right Centre Midfielder,Left Centre Midfielder,980.13324,5.44909429102919,-1.6962848873505092,-3.72966980963307,0.11872850272258699,3.07908333140814,-1.2619817072775832,3,1.0286280426451452e-10,3.7766453207714923e-44,6.070811358035396e-08,0.9999999391890236
415002,Dagoberto Espinoza Acosta,América,317,2024/2025,Right Back,Right Wing Back,1172.8501,-0.807045552019377,0.6185527102944803,-0.023716350658991442,-1.0571725784953458,-2.408233586465382,-0.5009895775308917,0,0.9999615351853604,3.8458287023341594e-05,6.34141960172354e-11,6.464202000500098e-09
43555,Erick Daniel Sánchez Ocegueda,América,317,2024/2025,Right Defensive Midfielder,Right Centre Midfielder,3012.8833,7.618490697158653,-2.658415316723548,-3.7567141347587225,-2.477989943024855,0.37137395968308495,-0.08895964620806902,3,2.386833652387664e-10,2.0653785441045972e-51,1.9767506998814108e-07,0.9999998020862466
6357,Jonathan dos Santos Ramírez,América,317,2024/2025,Left Defensive Midfielder,Centre Defensive Midfielder,1766.3,-0.15223089128486705,-5.754791078778096,3.3818115597849028,-0.7496640403935315,-2.726671640148091,-1.584494309294423,2,4.2064598480652365e-11,1.2933300455482917e-41,0.9975393615322037,0.0024606384257316403
28208,Jonathan Alexander González Mendoza,Juárez,317,2024/2025,Left Defensive Midfielder,Right Defensive Midfielder,1252.8666,-5.115631593783482,-4.110813873368611,0.35805701398983597,-2.9576244134449223,0.3154120582601762,-2.5209049060323276,2,3.3386477181627736e-09,2.529026619407337e-10,0.9999996171981931,3.792102564891119e-07
30726,José Javier Abella Fanjul,Juárez,317,2024/2025,Right Back,Left Back,1128.2499,-6.303493723453215,2.5529591936955067,2.1469593600675507,-1.1386137993825445,0.6542125531330945,0.5220857141718301,1,0.010967061277125528,0.9890326316720086,3.0704953704974254e-07,1.3289339754060202e-12
220794,Denzell Arturo García Bojorquez,Juárez,317,2024/2025,Right Back,Right Wing Back,1797.7667,-0.5008397924088472,-3.187893457739752,1.936211501472501,2.6468432053153332,-1.0684819309811362,-1.346737613676118,2,1.2375608523610372e-08,1.723970739516521e-33,0.9972561610998579,0.002743826524533383
28540,Omar Israel Mendoza Martín,Querétaro,317,2024/2025,Right Back,Right Wing Back,2195.2168,-4.811100062780409,2.7217506047501487,1.1939971066696113,1.308320459632113,0.6151859533372188,-0.06231474752822704,1,0.009355741872277864,0.9906442569088645,1.2120584622632756e-09,6.799237148983222e-12
412677,Aldahir Perez,Querétaro,317,2024/2025,Left Centre Midfielder,Right Wing,797.6333,3.4237767981357754,-2.0863363483804114,-4.769903692073448,-0.11554857553679015,-0.48821184030666065,1.2675495983222973,3,7.255033858863349e-10,1.3808520276839767e-35,0.0002017347459592599,0.9997982645285373
26350,Jaime Gómez Valencia,Querétaro,317,2024/2025,Right Back,Right Wing Back,1203.7667,-1.257340358871891,1.2216990567328545,-0.9205883556177397,0.6088094868202275,1.0117716392298843,-2.8434696737729,1,0.12738725201672058,0.8696959202481065,3.042894602905781e-09,0.00291682469227836
